,Unnamed: 0,accommodates,availability_30,bathrooms,bed_type,bedrooms,beds,calculated_host_listings_count,cancellation_policy,guests_included,has_availability,host_is_superhost,host_listings_count,instant_bookable,latitude(North),longitude(East),maximum_nights,number_of_reviews,property_type,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_rating,review_scores_value,room_type,price,amenities__Dryer,amenities__Other_pet(s),amenities__Carbon_Monoxide_Detector,amenities__,amenities__Iron,amenities__Elevator_in_Building,amenities__Cable_TV,amenities__Heating,amenities__Shampoo,amenities__Wireless_Internet,amenities__Dog(s),amenities__Doorman,amenities__24-Hour_Check-in,amenities__TV,amenities__First_Aid_Kit,amenities__Pets_live_on_this_property,amenities__Essentials,amenities__Laptop_Friendly_Workspace,amenities__Hair_Dryer,amenities__Gym,amenities__Safety_Card,amenities__Pool,amenities__Internet,amenities__Kitchen,amenities__Pets_Allowed,amenities__Buzzer/Wireless_Intercom,amenities__Breakfast,amenities__Washer_/_Dryer,amenities__Suitable_for_Events,amenities__Free_Parking_on_Premises,amenities__Lock_on_Bedroom_Door,amenities__Washer,amenities__Hot_Tub,amenities__Cat(s),amenities__Air_Conditioning,amenities__Indoor_Fireplace,amenities__Smoke_Detector,amenities__Wheelchair_Accessible,amenities__Family/Kid_Friendly,amenities__Fire_Extinguisher,amenities__Hangers,amenities__Smoking_Allowed,Cluster_Lon_Lat
25,25,8,0,2,Real Bed,3,3,1,flexible,1,t,f,1,f,22.67500569,114.2977102,1125,0,House,10,10,7,93,9,Entire home/apt,450,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,6
26,26,2,19,1,Real Bed,1,2,2,strict,2,t,t,2,f,22.67462836,114.293782,28,14,House,10,10,9,99,10,Private room,49,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6
27,27,2,29,1,Real Bed,1,1,2,moderate,1,t,f,2,f,22.71696549,114.2869293,1125,8,House,9,8,9,83,9,Private room,36,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,6
28,28,2,30,1,Real Bed,1,1,2,strict,1,t,f,2,f,22.70840329,114.2907472,1125,1,House,10,10,10,100,8,Private room,75,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,6
29,29,2,30,1,Airbed,1,1,1,flexible,1,t,f,2,f,22.70389784,114.325881,1125,1,House,8,8,4,60,8,Private room,50,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6
30,30,2,30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.71518174,114.2954179,1125,0,House,8,7,5,60,6,Private room,70,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,6
31,31,2,23,1,Real Bed,1,1,1,flexible,2,t,f,1,f,22.68518077,114.3302864,1125,0,House,10,10,10,99,10,Private room,36,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,6
32,32,2,30,1,Real Bed,1,1,1,flexible,1,t,f,2,f,22.74245886,114.2989583,1125,0,House,8,8,6,60,6,Private room,110,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6
33,33,1,0,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.7088574,114.2789097,1125,0,House,10,10,8,80,8,Private room,200,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6
34,34,1,7,1,Real Bed,1,1,1,moderate,1,t,t,1,f,22.71334919,114.2925267,1125,16,House,10,10,9,93,9,Private room,34,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,6
35,35,4,30,1,Real Bed,1,1,1,flexible,4,t,f,1,f,22.72080476,114.0676658,1125,2,Townhouse,9,10,10,100,10,Private room,59,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,3
36,36,2,30,1,Real Bed,1,1,1,flexible,1,t,f,1,f,22.68743222,114.0313216,1125,0,House,10,10,9,83,8,Private room,155,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,3
37,37,10,22,3,Real Bed,4,5,2,strict,1,t,f,301,f,22.73201262,114.0614042,1125,1,House,10,10,10,80,10,Entire home/apt,700,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,3
38,38,12,25,3,Real Bed,4,5,2,strict,1,t,f,301,f,22.73179758,114.049507,1125,0,House,8,8,9,75,7,Entire home/apt,819,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,3
